name,mode,opponent,,episodes,m,delta,alpha,T,nu,utenv,setting,c_a,,layers,activation,dueling,,prioritized_replay,exploration_final,exploration_fraction,,learning_rate,gamma
log_2aa4840e_a2f4_47e4_a2ec_df882f86d015.log,Attacker,BaseDefender,,100,10,7,0.05,5000,0,0,1,0.2,,64,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_3335e305_a2d3_4acb_8b67_65d184f6ba14.log,Defender,BaseAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,16,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_389e1909_1813_479d_9518_4f654d32c09f.log,Attacker,UniformDefender,,100,10,7,0.05,5000,0,0,1,0.2,,25,sigmoid,FALSE,,FALSE,0.05,0.1,,0.0005,0.99
log_3ca9c7dc_9b93_4c27_b58a_df6d76c5ad60.log,Defender,UniformAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,25,sigmoid,FALSE,,FALSE,0.1,0.1,,0.0005,0.99
log_43ae01e8_65fa_45db_8a11_523178b2e88e.log,Defender,MaxProbeAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,16,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_491b8261_0838_4b18_a5b6_44f09967cfbf.log,Attacker,PCPDefender,,100,10,7,0.05,5000,0,0,1,0.2,,25,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_61f34f32_4aa6_4be4_a8d6_e182f0c53c47.log,Defender,UniformAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,NONE,tanh,FALSE,,FALSE,0.1,0.1,,0.0005,0.99
log_6364c459_9e72_433b_9700_6c763cebed35.log,Attacker,PCPDefender,,100,10,7,0.05,5000,0,0,1,0.2,,64,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_6b5dbab3_c7d3_4962_9738_63470415c3da.log,Defender,MaxProbeAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,NONE,tanh,FALSE,,FALSE,0.1,0.1,,0.0005,0.99
log_78a0baae_bd57_484a_b0bb_6c81ef477769.log,Attacker,UniformDefender,,100,10,7,0.05,5000,0,0,1,0.2,,25,sigmoid,FALSE,,FALSE,0.02,0.1,,0.0005,0.99
log_970ab325_1ac1_4fd8_8a3c_6b70bb9b0324.log,Defender,MaxProbeAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,NONE,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_99de7d0a_8936_4dbc_b75a_c6650fbd2f13.log,Defender,UniformAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,NONE,tanh,FALSE,,FALSE,0.05,0.1,,0.0005,0.99
log_b34f9b4c_82a9_476f_ad05_da0c1ca661fd.log,Attacker,PCPDefender,,100,10,7,0.05,5000,0,0,1,0.2,,25,tanh,FALSE,,FALSE,0.1,0.1,,0.0005,0.99
log_cb56df43_2ea2_46be_939f_527ab8e542f2.log,Defender,UniformAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,None,tanh,FALSE,,FALSE,0.02,0.1,,0.0005,0.99
log_0680a13f_e80b_41cd_88c9_24c9ffab1b23.log,Attacker,PCPDefender,,100,10,7,0.05,5000,0,0,1,0.2,,"256, 128",tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_16369c0e_1236_4899_a77a_ef68259226ea.log,Defender,UniformAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,256,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_4f84d043_44fa_4247_b253_62bf6d7d9ad4.log,Attacker,PCPDefender,,100,10,7,0.05,5000,0,0,1,0.2,,"25, 25",tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_59e21afe_3f2c_4d9c_b53a_415f4839657a.log,Defender,UniformAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,"256, 128",tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_607df279_88d5_4191_a7d9_1d8256fc62b6.log,Defender,UniformAttacker,,1000,10,7,0.05,5000,0,0,1,0.2,,"256, 128",tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_90d7e797_a0a1_429d_bbda_0b7fd8465816.log,Attacker,PCPDefender,,100,10,7,0.05,5000,0,0,1,0.2,,256,tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_c5fba242_c1df_4611_a9e9_4146be2e36af.log,Attacker,PCPDefender,,1000,10,7,0.05,5000,0,0,1,0.2,,"256, 128",tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_e554e941_cafb_498f_b9a9_75893b0fbd72.log,Defender,UniformAttacker,,100,10,7,0.05,5000,0,0,1,0.2,,"25, 25",tanh,FALSE,,FALSE,0.02,0.2,,0.0005,0.99
log_1ff75086_97b0_4906_9096_dd34d7db30ff.log,Attacker,UniformDefender,,1000,10,7,0.05,5000,0.0,0,1,0.2,,"256, 128",tanh,False,,False,0.02,0.2,,0.0005,0.99
log_20a42bd0_904f_4073_9e7a_e84351958b76.log,Attacker,UniformDefender,,1000,10,7,0.05,5000,0.0,0,1,0.2,,"256, 128",tanh,False,,False,0.02,0.2,,0.0005,0.99
log_9e102141_6497_4e8e_b90f_5effe694f6b8.log,Attacker,UniformDefender,,100,10,7,0.05,5000,0.0,0,1,0.2,,256,tanh,False,,False,0.02,0.2,,0.0005,0.99
